timestamp,src_ip,dst_ip,protocol,packet_size,duration_ms,is_anomaly,threat_type
2026-08-01 00:00:00,192.168.92.14,10.0.106.71,TCP,277.0,8.48,0,Aucune
2026-08-01 00:00:27,192.168.151.130,10.0.149.52,HTTPS,563.0,175.18,0,Aucune
2026-08-01 00:00:12,192.168.20.160,10.0.203.57,HTTP,40.0,17.21,0,Aucune
2026-08-01 00:00:30,192.168.207.14,10.0.189.189,TCP,690.0,76.9,0,Aucune
2026-08-01 00:01:44,192.168.130.228,10.0.50.134,HTTP,379.0,5.14,0,Aucune
2026-08-01 00:00:15,192.168.252.7,10.0.174.34,TCP,689.0,120.02,0,Aucune
2026-08-01 00:01:06,192.168.133.53,10.0.105.3,TCP,543.0,127.47,0,Aucune
2026-08-01 00:00:07,192.168.39.212,10.0.207.236,HTTPS,676.0,15.83,0,Aucune
2026-08-01 00:01:12,192.168.123.236,10.0.40.156,HTTP,2952.1,8.04,1,Malware
2026-08-01 00:04:21,192.168.161.32,10.0.47.246,TCP,677.0,18.62,0,Aucune
2026-08-01 00:05:00,192.168.218.34,10.0.192.226,HTTP,572.0,71.52,0,Aucune
2026-08-01 00:03:40,192.168.136.206,10.0.14.89,TCP,2287.4,0.21,1,Intrusion
2026-08-01 00:14:12,192.168.150.230,10.0.236.142,TCP,342.0,4.01,0,Aucune
2026-08-01 00:17:07,192.168.44.61,10.0.184.244,HTTPS,648.0,102.58,0,Aucune
2026-08-01 00:15:24,192.168.74.127,10.0.249.246,TCP,438.0,5.83,0,Aucune
2026-08-01 00:12:45,192.168.232.2,10.0.102.197,UDP,634.0,35.74,0,Aucune
2026-08-01 00:00:48,192.168.171.151,10.0.206.58,UDP,542.0,60.7,0,Aucune
2026-08-01 00:27:46,192.168.253.38,10.0.129.130,TCP,574.5,3.59,1,Exfiltration
2026-08-01 00:03:36,192.168.128.146,10.0.125.129,HTTP,40.0,40.25,0,Aucune
2026-08-01 00:04:07,192.168.144.254,10.0.37.23,HTTPS,796.0,31.77,0,Aucune
2026-08-01 00:16:40,192.168.143.96,10.0.200.123,TCP,886.0,97.72,0,Aucune
2026-08-01 00:12:57,192.168.254.146,10.0.147.95,HTTPS,516.0,5.06,0,Aucune
2026-08-01 00:07:42,192.168.103.128,10.0.10.219,HTTP,332.0,38.98,0,Aucune
2026-08-01 00:01:55,192.168.111.248,10.0.243.59,HTTPS,635.0,15.11,0,Aucune
2026-08-01 00:09:36,192.168.159.250,10.0.246.8,HTTPS,692.0,93.76,0,Aucune
2026-08-01 00:27:05,192.168.115.74,10.0.112.199,HTTP,287.0,76.94,0,Aucune
2026-08-01 00:05:38,192.168.216.98,10.0.152.92,UDP,302.0,33.24,0,Aucune
2026-08-01 00:02:15,192.168.67.32,10.0.141.20,UDP,281.0,9.85,0,Aucune
2026-08-01 00:17:44,192.168.127.32,10.0.175.203,HTTP,954.0,14.41,0,Aucune
2026-08-01 00:09:40,192.168.7.26,10.0.26.225,HTTP,529.0,21.55,0,Aucune
2026-08-01 00:29:30,192.168.251.60,10.0.47.146,HTTPS,795.0,2.23,0,Aucune
2026-08-01 00:04:39,192.168.5.98,10.0.123.232,TCP,579.0,152.96,0,Aucune
2026-08-01 00:13:20,192.168.187.224,10.0.115.190,UDP,310.0,15.63,0,Aucune
2026-08-01 00:08:15,192.168.53.57,10.0.66.103,TCP,380.0,3.65,0,Aucune
2026-08-01 00:07:22,192.168.126.154,10.0.233.129,HTTP,676.0,7.35,0,Aucune
2026-08-01 00:05:50,192.168.25.98,10.0.49.152,TCP,2517.2,6.56,1,Intrusion
2026-08-01 00:39:00,192.168.142.91,10.0.97.65,TCP,877.0,19.89,0,Aucune
2026-08-01 00:33:18,192.168.57.85,10.0.48.179,TCP,364.0,1.98,0,Aucune
2026-08-01 00:06:58,192.168.7.52,10.0.59.235,TCP,490.0,92.27,0,Aucune
2026-08-01 00:23:24,192.168.167.51,10.0.143.12,HTTP,3011.4,32.59,1,Phishing
2026-08-01 00:01:20,192.168.228.217,10.0.116.61,TCP,600.0,26.29,0,Aucune
2026-08-01 00:05:28,192.168.125.117,10.0.47.88,TCP,673.0,53.97,0,Aucune
2026-08-01 00:28:00,192.168.190.68,10.0.21.92,HTTP,701.8,2.4,1,Malware
2026-08-01 00:07:53,192.168.189.243,10.0.196.203,HTTP,403.0,1.0,0,Aucune
2026-08-01 00:08:48,192.168.253.221,10.0.100.22,HTTPS,435.0,1.0,0,Aucune
2026-08-01 00:17:15,192.168.236.3,10.0.15.23,HTTPS,604.0,144.02,0,Aucune
2026-08-01 00:23:00,192.168.83.151,10.0.139.177,HTTPS,293.0,83.35,0,Aucune
2026-08-01 00:39:57,192.168.167.73,10.0.42.43,TCP,540.0,16.01,0,Aucune
2026-08-01 00:00:48,192.168.241.34,10.0.214.80,TCP,268.0,57.22,0,Aucune
2026-08-01 00:16:20,192.168.57.244,10.0.113.236,TCP,814.0,137.95,0,Aucune
2026-08-01 01:25:00,192.168.163.137,10.0.100.200,TCP,874.0,65.77,0,Aucune
2026-08-01 00:22:06,192.168.150.189,10.0.223.36,HTTP,837.0,13.63,0,Aucune
2026-08-01 00:06:56,192.168.29.16,10.0.112.61,TCP,311.7,4.76,1,Malware
2026-08-01 00:09:43,192.168.205.222,10.0.127.51,HTTP,484.0,42.6,0,Aucune
2026-08-01 00:09:00,192.168.24.179,10.0.122.212,TCP,654.0,77.94,0,Aucune
2026-08-01 00:00:55,192.168.222.121,10.0.132.162,UDP,633.0,109.33,0,Aucune
2026-08-01 00:03:44,192.168.73.185,10.0.235.144,HTTP,413.0,86.26,0,Aucune
2026-08-01 00:01:54,192.168.82.135,10.0.239.108,HTTPS,540.0,23.15,0,Aucune
2026-08-01 02:03:44,192.168.131.35,10.0.69.251,TCP,92.0,118.41,0,Aucune
2026-08-01 00:00:00,192.168.219.125,10.0.57.147,TCP,814.0,6.32,0,Aucune
2026-08-01 00:41:00,192.168.204.91,10.0.189.248,TCP,210.0,101.48,0,Aucune
2026-08-01 00:00:00,192.168.159.172,10.0.60.46,ICMP,331.0,110.89,0,Aucune
2026-08-01 00:02:04,192.168.226.146,10.0.19.184,UDP,955.0,59.5,0,Aucune
2026-08-01 00:27:18,192.168.143.214,10.0.184.202,HTTPS,581.0,16.49,0,Aucune
2026-08-01 00:19:12,192.168.155.116,10.0.7.121,HTTP,3684.1,6.48,1,Malware
2026-08-01 00:09:45,192.168.244.211,10.0.204.219,TCP,1756.2,2.9,1,Exfiltration
2026-08-01 00:30:48,192.168.193.9,10.0.55.29,HTTPS,485.0,83.18,0,Aucune
2026-08-01 00:30:09,192.168.62.216,10.0.85.58,HTTPS,443.0,92.3,0,Aucune
2026-08-01 00:18:08,192.168.128.148,10.0.239.54,HTTPS,551.0,408.62,0,Aucune
2026-08-01 00:49:27,192.168.164.201,10.0.201.82,UDP,560.0,14.21,0,Aucune
2026-08-01 01:47:20,192.168.204.3,10.0.189.192,TCP,712.0,22.17,0,Aucune
2026-08-01 00:26:02,192.168.117.2,10.0.122.49,HTTP,808.0,95.59,0,Aucune
2026-08-01 01:14:24,192.168.56.144,10.0.111.254,TCP,3788.1,2.61,1,DDoS
2026-08-01 00:02:26,192.168.225.51,10.0.248.165,HTTPS,675.0,29.97,0,Aucune
2026-08-01 00:27:08,192.168.80.132,10.0.28.131,TCP,4529.2,12.41,1,DDoS
2026-08-01 00:32:30,192.168.202.114,10.0.110.248,HTTP,471.0,30.82,0,Aucune
2026-08-01 00:44:20,192.168.131.103,10.0.131.183,HTTPS,699.0,36.2,0,Aucune
2026-08-01 00:08:59,192.168.20.4,10.0.209.91,TCP,452.0,21.36,0,Aucune
2026-08-01 00:28:36,192.168.11.89,10.0.45.33,TCP,425.0,19.4,0,Aucune
2026-08-01 00:44:46,192.168.55.93,10.0.106.62,TCP,336.0,23.68,0,Aucune
2026-08-01 00:02:40,192.168.98.252,10.0.179.206,HTTP,659.0,13.47,0,Aucune
2026-08-01 00:51:18,192.168.153.13,10.0.186.55,HTTP,513.0,7.14,0,Aucune
2026-08-01 00:56:02,192.168.251.236,10.0.17.249,HTTP,266.0,5.54,0,Aucune
2026-08-01 00:33:12,192.168.16.230,10.0.85.217,TCP,168.0,38.32,0,Aucune
2026-08-01 00:26:36,192.168.137.66,10.0.232.108,HTTP,1014.0,66.75,0,Aucune
2026-08-01 00:34:00,192.168.41.168,10.0.100.5,HTTP,375.0,114.95,0,Aucune
2026-08-01 00:28:40,192.168.197.228,10.0.120.32,TCP,458.0,95.13,0,Aucune
2026-08-01 00:01:27,192.168.136.246,10.0.130.242,HTTP,44.0,1.0,0,Aucune
2026-08-01 01:39:44,192.168.211.219,10.0.74.3,HTTP,859.0,85.98,0,Aucune
2026-08-01 00:28:11,192.168.172.43,10.0.132.69,HTTP,485.0,172.09,0,Aucune
2026-08-01 00:58:30,192.168.139.46,10.0.0.89,HTTPS,457.0,35.27,0,Aucune
2026-08-01 00:40:57,192.168.133.177,10.0.247.9,ICMP,527.0,39.77,0,Aucune
2026-08-01 00:52:08,192.168.83.64,10.0.62.100,TCP,977.0,79.06,0,Aucune
2026-08-01 01:03:33,192.168.177.77,10.0.116.119,TCP,379.0,235.14,0,Aucune
2026-08-01 02:02:12,192.168.63.149,10.0.59.63,HTTP,615.0,69.42,0,Aucune
2026-08-01 00:09:30,192.168.82.122,10.0.77.153,TCP,599.0,119.23,0,Aucune
2026-08-01 00:54:24,192.168.71.38,10.0.103.13,UDP,550.0,38.8,0,Aucune
2026-08-01 00:21:01,192.168.238.246,10.0.193.205,TCP,661.0,3.45,0,Aucune
2026-08-01 00:26:08,192.168.66.134,10.0.178.199,UDP,323.0,105.45,0,Aucune
2026-08-01 00:41:15,192.168.156.37,10.0.184.96,HTTP,602.0,61.38,0,Aucune
2026-08-01 00:10:00,192.168.65.9,10.0.4.122,UDP,418.0,38.45,0,Aucune
2026-08-01 00:45:27,192.168.14.156,10.0.135.4,UDP,552.0,33.31,0,Aucune
2026-08-01 00:00:00,192.168.114.242,10.0.163.35,HTTPS,643.0,87.67,0,Aucune
2026-08-01 00:12:01,192.168.22.46,10.0.89.45,HTTPS,813.0,47.72,0,Aucune
