0,tcp,http,SF,215,4500,10,10,0.00,normal
0,tcp,http,SF,180,3200,8,8,0.00,normal
5,udp,domain_u,SF,45,60,2,2,0.00,normal
0,tcp,ftp,SF,300,1200,5,5,0.00,normal
2,tcp,smtp,SF,520,890,6,6,0.00,normal
1,tcp,telnet,S0,0,0,20,20,1.00,neptune
0,tcp,http,SF,150,2800,7,7,0.00,normal
10,tcp,private,S0,0,0,50,50,1.00,neptune
0,udp,domain_u,SF,38,55,1,1,0.00,normal
3,tcp,ftp_data,SF,15000,200,3,3,0.00,normal
0,tcp,http,SF,12500,3400,9,9,0.00,satan
0,tcp,http,SF,220,4100,11,11,0.00,normal
1,icmp,ecr_i,SF,1032,0,100,100,0.00,smurf
0,tcp,smtp,SF,480,760,4,4,0.00,normal
7,tcp,private,REJ,0,0,15,15,0.00,portsweep
0,tcp,http,SF,195,3900,9,9,0.00,normal
0,tcp,ftp,SF,280,1100,6,6,0.00,normal
1,tcp,telnet,S0,0,0,25,25,1.00,neptune
0,udp,domain_u,SF,42,58,2,2,0.00,normal
0,tcp,http,SF,20000,5000,12,12,0.00,back
2,tcp,smtp,SF,510,820,5,5,0.00,normal
0,tcp,http,SF,175,3100,8,8,0.00,normal
9,tcp,private,S0,0,0,45,45,1.00,neptune
0,tcp,ftp_data,SF,18000,250,4,4,0.00,normal
0,tcp,http,SF,205,4300,10,10,0.00,normal
1,icmp,ecr_i,SF,1032,0,120,120,0.00,smurf
6,tcp,private,REJ,0,0,18,18,0.00,portsweep
0,tcp,smtp,SF,495,780,5,5,0.00,normal
0,udp,domain_u,SF,40,52,1,1,0.00,normal
0,tcp,http,SF,190,3700,9,9,0.00,normal
